pid,title,transtitle,author,translator,poem,transpoem,note,abio,tbio,epigraph,language,lang,image,imagecredit,origaudio,translaudio,edition,pagetype,wrapformat,sequence
editor-note,,Editor's Note,Carine Medullus,,,,"<p class=""ednote"">Dear readers,</p>
  <p class=""ednote"">I’m delighted to share with you the 2025 issue of <em>DoubleSpeak</em>, originally curated by Katie Rozsypalek and the editorial staff—Daria Knurenko, Hannah Nieuwveld, Ava Ye, Joecelyn Curreri, and Elias Ziyadeh.</p>
  <p class=""ednote"">This year's edition captures the multitude of worlds our translations inhabit, as the poems included here have been translated by high school students in Poland, award-winning Dutch novelists, and Peruvian migrant-activists. The translated world encompasses riveting languages: Spanish, Russian, French, Dutch, Mandarin, and—for the very first time in the journal’s history—Ukrainian.</p>
   <p class=""ednote"">Ukrainian’s addition to our index of languages was made possible by Daria (Dasha) Knurenko, who translated three brilliant poems for this issue—two written by the great twentieth-century poet of resistance Vasyl Stus, and the third poem by the sharply contemporary Yuriy Izdryk. I’m particularly struck by one of the Stus poems,“The Sea—A Black Knot of Sadness,” which breathes in nature, reminding humans of the privilege of witnessing its anomaly. Dasha grew up in Northwestern Ukraine and—having come to Penn for her undergraduate degree—joined <em>DoubleSpeak</em>’s staff in her first year here. She now takes the helm as our Editor-in-Chief.</p>
  <p class=""ednote"">Please take a moment with this issue to read Dasha’s musing, “Language as Empire,” which explores the author’s  relationship with language—especially Russian and Ukrainian through her experience as a teenager during the Russian-Ukrainian war. I continue to think about these lines, toward the end of the musing: “But everything changes when you hear a rocket fly past your head. That sound—a sound between a word and a language—is one everyone understands. You don’t need to speak it.” Dasha explores language tactically, using the noise of inanimate objects for the things language cannot say, and navigating the heaviness of carrying both Russian and Ukrainian during a time of turbulence.</p>
  <p class=""ednote"">I only this year got the opportunity to join <em>DoubleSpeak</em>, and through it I have been exposed to poetry I wouldn’t have otherwise known. I’m in my final semester of university, readying myself to graduate with a chemistry degree and a creative writing minor. I’m unsure of the upcoming years—perhaps I’ll practice environmental law in the Northeast, or perhaps I'll return to the chemistry labs where I began my freshman year, or perhaps I'll write about it all. With the words in this issue, I have already begun to travel across time and between countries.</p>
  <p class=""ednote"">I’m grateful to the <em>DoubleSpeak</em> team for allowing me to take part in this project, and to our translators, for crossing language barriers to permit others to enjoy poetry. Readers, I hope these poems transport you across time and between countries, just as they once did for me.</p>
    <p>Sincerely,<br>Carine Medellus<br>Editor</p>


",,,,,,,,,,2025,frontmatter,,0
broom-flower,Flor de Retama,Broom Flower,Ricardo Dolorier Urbano,Leonardo Torres Llerena,"Vengan muchachos a ver
¡Ay, vamos a ver!
En la Plazuela de Huanta,
amarillito flor de retama,
amarillito, amarillando
flor de retama.
Donde la sangre del pueblo,
¡Ay!, se derrama;
allí mismito florece
amarillito flor de retama,
amarillito, amarillando
flor de retama.
Por cinco esquinas están,
los Sinchis entrando están.
Van a matar estudiantes
huantinos de corazón,
amarillito, amarillando
flor de retama;
van a matar campesinos
huantinos de corazón,
amarillito, amarillando
flor de retama.
Los ojos del pueblo tienen
¡hermosos sueños!
Sueñan el trigo en las eras
y el viento por las laderas
¡y en cada niño una estrella!
La sangre del pueblo
tiene rico perfume;
la sangre del pueblo
tiene rico perfume;
huele a jazmines, violetas,
geranios y margaritas;
a pólvora y dinamita.
Huele a jazmines, violetas,
geranios y margaritas;
a pólvora y dinamita
¡Carajo!
¡A pólvora y dinamita!
¡Carajo!
¡A pólvora y dinamita!","Come, young ones, come see
Oh, let's go and see!
In the Square of Huanta,
yellowish broom flower,
yellowish, yellowing
broom flower.
Where the blood of the people,
Oh! is spilled
right there it blossoms
yellowish broom flower,
yellowish, yellowing
broom flower.
At every corner they are,
the cops approaching are.
They’re going to kill students
Huantans at heart,
yellowish, yellowing
broom flower.
They’re going to kill farmers
Huantans at heart,
yellowish, yellowing
broom flower.
The eyes of the people hold
such beautiful dreams!
Dreams of wheat in the threshing floors
and the wind across the slopes,
and a star in every child!
The people’s blood
has a tasty perfume;
the people’s blood
has a tasty perfume;
it smells of jasmine, violets,
geraniums and daisies,
of gunpowder and dynamite.
It smells of jasmine, violets,
geraniums and daisies,
of gunpowder and dynamite.
Damn it!
Of gunpowder and dynamite!
Damn it!
Of gunpowder and dynamite!","<p>In Peru, a dictatorship is once again killing people right now. Those who suffer most have been the same for the past five centuries: the Indigenous. This <em>huayno</em> poem by Ricardo Dolorier was created to transform our pain into art and denounce the brutality of the white police, which has been taking place as far back as 1969. Despite the passage of time, systematic violence continues. Still, the people never surrender, and songs like this give us the strength to continue our fight. As soon as I read about the opportunity to submit a translation, I could only imagine creating this one.</p>","<p>Ricardo Dolorier Urbano was born in Huanta, Ayacucho, a region deeply tied to Peru's cultural and social landscape. He completed his primary and secondary education at the Gonzáles Vigil National School in Huanta. He later pursued a career as a Professor of Language and Literature, graduating from the National University of Education La Cantuta in 1958. Dolorier’s early years as a teacher were spent at Gonzáles Vigil, where he taught and founded an evening program to expand educational access to more students.</p>

<p>Dolorier’s teaching experience and profound empathy for the struggles of his people inspired him to write “Flor de Retama”. This moving piece became emblematic of resistance and social justice, capturing the spirit of Ayacucho’s people and the police brutality and racism. In 1964, he joined the faculty at La Cantuta, where he taught for 25 years until his retirement in 1989. Ricardo Dolorier Urbano remains a significant figure in Peruvian literature and education, and he is celebrated for his dedication to his students and poignant contributions to the national cultural identity. His legacy endures through his writings and his impact on countless students and educators in Peru.</p>","<p>Leonardo is a Quechua social advocate from Peru, deeply committed to preserving Indigenous languages and cultural expression and engaged in environmental and social justice activism. He is passionate about bringing our Andean voices, wisdom and cosmovision into global dialogues. His academic background includes a BSc in Industrial Engineering, an MSc in Political Science and Government, and an MSc in Urban Regeneration. He speaks Spanish, Quechua, English and Italian.</p>",,Spanish,es,/assets/images/images_25/tropical.jpg,,flor-de-retama_orig.m4a,broom-flower_eng.m4a,2025,submission,,0
the-lazy-and-the-tender,Ліниві і ніжні,the lazy and the tender,Yuriy Izdryk (Юрій Іздрик),Daria Knurenko,"ніжність повільна лінива нахабна
лізе під шкіру кличе у трави
то віртуозна а то незграбна
берег є лівий
берег є правий
нас береже перестиглий серпень
нас береже недозрілий травень
падає хустка
котиться перстень
і намистини біжать по краю
ніжність манірна смішна навмисна
то сміхотлива а то печальна
як соло гітарне вгорі зависне
як мед до чаю на дні розтане
ніжність – алергік
вона дитинна
рветься на волю і капризує
завжди під кайфом завше на нервах
завше в перервах
здебільшого всує
ніжність без відліку ніжність без даху
така мала – і така бездомна!
але без пустки тривоги і страху
і безнадії
і без утоми

берегом лівим і берегом правим
руслом ріки
сірим асфальтом
пристрасть тече вулканічною лавою
сіючи паніку й хаос вокзальний
всіх спопелить – дальніх і ближніх
все рознесе – рано чи пізно
виживуть тільки ніжні й ліниві
виживуть тільки ліниві і ніжні
","tenderness slow feisty lazy
creeps under the skin calls to the meadows 
skillful at times 
at times awkward 
its one shore is left 
the other is right 
overripe August keeps us safe 
unripe May watches over us 
a scarf falls 
a ring rolls
and the beads scatter along the edge 
tenderness mannered absurd wilful 
sometimes laughing
sometimes in sorrow 
hangs in the air like a guitar solo
dissolves at the bottom of tea like honey 
tenderness allergic to rules 
she's childlike
struggles for freedom erratic moody 
always high always on edge 
always in breaks 
mostly in vain
tenderness without measure nor shelter 
so small - yet so homeless! 
but never empty never afraid 
never hopeless 
and never tired

from the left shore to the right shore 
through the riverbed 
across gray asphalt
passion flows like volcanic lava 
spreading panic and station chaos 
it will burn everything - near and far 
sweep away all - sooner or later 
the ones to survive will be tender and lazy 
the ones to remain will be lazy and tender

","<p>Izdryk’s writing style in Ukrainian is conversational and easy-flowing, almost disarmingly direct, which made translating him at once an approachable and tentative task; I kept asking myself how to keep the lightness that he so skillfully fills his poem with, without losing the more insightful and subtly searching turns of the poem.</p> 

I particularly enjoyed the playfulness with which he describes tenderness in some places – such as in “завжди під кайфом завше на нервах,” or “always high always on edge,” which portrays it as this young, reckless, uncontrollable force, only to immediately contrast these images with an unexpected “здебільшого всує,” or “mostly in vain.” The catch is that in Ukrainian, “всує,” or “in vain,” is a word used primarily in the Bible to describe something done to no avail, unsuccessfully; it is usually used as a part of a highly elevated, religious register. To me, this contrast between the youth slang and the church language that Izdryk blends and manages to make work together is the definition of the appeal of his craft.</p>

Another aspect that made this poem important for me to translate was its insistence on the lack of punctuation, traditional stanzas, or meter. Altogether, these are atypical for Ukrainian poetry, at least to the degree Izdryk takes them, making him stand out among his contemporaries.</p>","<p>Yuri Izdryk is a contemporary Ukrainian poet and novelist from Kalush, known for his innovative, bold, and deconstructive approach to writing. He was born in 1962 and became interested in literature at an early age. He then became involved in the artistic scene of Ivano-Frankivsk, where he worked after graduating. He also edited the avant-garde literary journal Chetver and started publishing prose, including his novel <em>AM™</em> and <em>The Island of Krk and Other Stories.</em> His collection of poetry, <em>The Lazy and The Tender</em>, which includes this poem, is widely read in Ukraine.</p>","<p>Daria Knurenko is a freshman at the University of Pennsylvania studying Comparative Literature and Art History. She grew up in Chernihiv, Ukraine, and speaks Ukrainian, English, French, German, and Russian. She translates from and into English, French, Ukrainian, and Russian, focusing on nineteenth and twentieth century poetry. Having lived in different countries has informed her interest in the ways people communicate across languages and cultures, as well as literary translation, which brings these notions together.<p/> ",,Ukrainian,uk,/assets/images/images_25/IMG_0527.JPG,,,,2025,submission,,0
the-sea-a-black-knot-of-sadness,Рятуючись од сумнівів,The Sea--A Black Knot of Sadness,Vasyl Stus,Daria Knurenko,"Море —
чорна грудка печалі,
душа Мефістофеля
наодинці.
Терпне рояль
під пальчиками дівочими,
і в воду
падає з кручі земля.
Шерхлі трави
вологі пасажі ловлять,
і стогін стихії
туманом важким облягло.

*
Гусне вечір сурою корана,
і в яру струмка гортанний звук.
Стільки правди в горлі, стільки мук —
не переповісти і до рання.


*
Тоскний тріск у порожнім лісі,
і пташиний колючий свист.
Падолист.
Де ж метелику сісти?
","The sea –
a black knot of sadness,
the soul of Mephistopheles
by itself.
The piano is melting
under the slender fingers of a girl,
and the water
inhales the ground falling from hills.
Coarse grasses
are catching the ways of dampness
and the nature’s moans
are trapped in heavy fogs.
The evening thickens into a Koran’s sura –
a roof-of-the-mouth sound in a gully of a stream.
The truth and the tortures tear
the throat, teasing, till morning.
Dreary clack in an empty forest
and a bristly bird whistle.
Laggard leaf fall.
Where could a butterfly land?
","<p>""The Sea - A Black Knot of Sadness..."" stood out to me because it was more abstract, tender and detached than Stus's more well-known poems. I liked the gentle flow of the images of the poem that creates a melancholic, meditative tone of awe and anticipation. Some things I found challenging about translating this poem were getting the numerous sound images it has right, such as the ""roof-of-the-mouth sound in a gully of a stream"" or ""dreary clack in an empty forest,"" especially given that the author uses atypical and sometimes archaic adjectives to describe the sounds for these images in the original version, as well. However, getting to play around with the different ways in which I could reflect the setting he creates was also the most fun part of the translation process.</p> ","<p>Vasyl Stus was a Ukrainian poet, translator, and dissident whose life and work embody the moral resistance to Soviet oppression. Born in 1938 in the village of Rakhnivka and raised in the industrial city of Stalino (now Donetsk), he studied literature at Donetsk University before working as a teacher, editor, and translator in Kyiv. A central figure in the Sixtiers movement, Stus used his writing to defend Ukrainian cultural identity and denounce political repression, which led to his first arrest in 1972. After enduring imprisonment and exile, he was arrested again in 1980 for his continued activism, and sentenced to ten more years in labor camps. He died in 1985 in the Perm-36 camp after a hunger strike, becoming a symbol of resistance and moral resilience. His poetry, much of it written in captivity, is known for its spiritual intensity, philosophical depth, and honesty. Often composed in free verse, his poems explore suffering, conscience, exile, and the human capacity for inner freedom. Despite Soviet censorship, Stus left behind a body of work that remains central to Ukrainian literature and the broader struggle for truth and dignity.<p/>","<p>Daria Knurenko is a freshman at the University of Pennsylvania studying Comparative Literature and Art History. She grew up in Chernihiv, Ukraine, and speaks Ukrainian, English, French, German, and Russian. She translates from and into English, French, Ukrainian, and Russian, focusing on nineteenth and twentieth century poetry. Having lived in different countries has informed her interest in the ways people communicate across languages and cultures, as well as literary translation, which brings these notions together.<p/> ",,Ukrainian,uk,/assets/images/images_25/IMG_0864.jpeg,,,,2025,submission,,first
running-away-from-doubts,"Рятуючись од сумнівів…

",Running Away From Doubts,Vasyl Stus,Daria Knurenko,"Рятуючись од сумнівів,
б’ю телеграму собі самому:
вчасколивесьрадянськийнарод
івсепрогресивнелюдствоготуєть
сягіднозустрітичерговийз’іздкпрс,
бажаю тобі великих успіхів,
щиро заздрю, що ось уже тридцять років
ти живеш у найщасливішій у світі країні.
Але й після цього досада не минає.
Тоді я примушую себе пригадати,
що міжнародна обстановка
сьогодні складна як ніколи
і заспокоююсь.

","Running away from doubts,
I’m typing a telegram to myself:
whilsttheentiresovietpeople
andtheprogressivepartofthehumanityaregetting
readyforthenextcpsucongress*,
I wish you the greatest of successes,
I’m indeed jealous that for thirty years now
you have been living in the happiest of countries.
Yet even then something keeps bugging me.
So I remind myself that
the international situation has never
been more complicated than today
and this calms me down.

*CPSU - Communist Party of the Soviet Union, abbreviated and not capitalized in the
original","<p>I decided to translate this poem because it seemed relevant to our times of unrest and growing repression in different parts of the world. I was interested in the author’s use of satire and the epistolary form in the poem, which I found atypical. The context in which the poem was written (its sharp criticism of Soviet repressions), coupled with its resigned acceptance of the lack of answers, seems very reflective of the era we find ourselves in today. I love how the poem’s rhythm and innovative choices, such as condensed phrases, introduce an almost-playfulness into its grave theme of political criticism and bitterness in the face of authoritarianism and the untrue narratives that surround our lives, as well as the recognition of one’s need to nonetheless somehow deal with these “doubts.”<p/>
","<p>Vasyl Stus was a Ukrainian poet, translator, and dissident whose life and work embody the moral resistance to Soviet oppression. Born in 1938 in the village of Rakhnivka and raised in the industrial city of Stalino (now Donetsk), he studied literature at Donetsk University before working as a teacher, editor, and translator in Kyiv. A central figure in the Sixtiers movement, Stus used his writing to defend Ukrainian cultural identity and denounce political repression, which led to his first arrest in 1972. After enduring imprisonment and exile, he was arrested again in 1980 for his continued activism, and sentenced to ten more years in labor camps. He died in 1985 in the Perm-36 camp after a hunger strike, becoming a symbol of resistance and moral resilience. His poetry, much of it written in captivity, is known for its spiritual intensity, philosophical depth, and honesty. Often composed in free verse, his poems explore suffering, conscience, exile, and the human capacity for inner freedom. Despite Soviet censorship, Stus left behind a body of work that remains central to Ukrainian literature and the broader struggle for truth and dignity.<p/>

","<p>Daria Knurenko is a freshman at the University of Pennsylvania studying Comparative Literature and Art History. She grew up in Chernihiv, Ukraine, and speaks Ukrainian, English, French, German, and Russian. She translates from and into English, French, Ukrainian, and Russian, focusing on nineteenth and twentieth century poetry. Having lived in different countries has informed her interest in the ways people communicate across languages and cultures, as well as literary translation, which brings these notions together.<p/> ",,Ukrainian,uk,/assets/images/images_25/IMG_0532.JPG,,,,2025,submission,,last
liberty,Liberté,Liberty,Paul Eluard,Elias Ziyadeh,"Sur mes cahiers d’écolier
Sur mon pupitre et les arbres
Sur le sable sur la neige
J’écris ton nom

Sur toutes les pages lues
Sur toutes les pages blanches
Pierre sang papier ou cendre
J’écris ton nom

Sur les images dorées
Sur les armes des guerriers
Sur la couronne des rois
J’écris ton nom

Sur la jungle et le désert
Sur les nids sur les genêts
Sur l’écho de mon enfance
J’écris ton nom

Sur les merveilles des nuits
Sur le pain blanc des journées
Sur les saisons fiancées
J’écris ton nom

Sur tous mes chiffons d’azur
Sur l’étang soleil moisi
Sur le lac lune vivante
J’écris ton nom

Sur les champs sur l’horizon
Sur les ailes des oiseaux
Et sur le moulin des ombres
J’écris ton nom



Sur chaque bouffée d’aurore
Sur la mer sur les bateaux
Sur la montagne démente
J’écris ton nom

Sur la mousse des nuages
Sur les sueurs de l’orage
Sur la pluie épaisse et fade
J’écris ton nom

Sur les formes scintillantes
Sur les cloches des couleurs
Sur la vérité physique
J’écris ton nom

Sur les sentiers éveillés
Sur les routes déployées
Sur les places qui débordent
J’écris ton nom

Sur la lampe qui s’allume
Sur la lampe qui s’éteint
Sur mes maisons réunies
J’écris ton nom

Sur le fruit coupé en deux
Du miroir et de ma chambre
Sur mon lit coquille vide
J’écris ton nom

Sur mon chien gourmand et tendre
Sur ses oreilles dressées
Sur sa patte maladroite
J’écris ton nom

Sur le tremplin de ma porte
Sur les objets familiers
Sur le flot du feu béni
J’écris ton nom

Sur toute chair accordée
Sur le front de mes amis
Sur chaque main qui se tend
J’écris ton nom

Sur la vitre des surprises
Sur les lèvres attentives
Bien au-dessus du silence
J’écris ton nom

Sur mes refuges détruits
Sur mes phares écroulés
Sur les murs de mon ennui
J’écris ton nom

Sur l’absence sans désirs
Sur la solitude nue
Sur les marches de la mort
J’écris ton nom

Sur la santé revenue
Sur le risque disparu
Sur l’espoir sans souvenir
J’écris ton nom

Et par le pouvoir d’un mot
Je recommence ma vie
Je suis né pour te connaître
Pour te nommer

Liberté.","On my school notebooks
On my desk and the trees
On the sand on the snow
I write your name

On all the read pages
On all the white pages
Stone blood paper or ashes
I write your name

On the gold pictures
On the soldier’s weapons
On the kings’ crowns
I write your name

On the jungle and the desert
On the nests on the broom flowers
On the echo of my childhood
I write your name

On the marvel of the night
On the white bread of the day
On the engaged seasons
I write your name

On all my azure cloths
On the pond of moldy sun
On the lake of living moon
I write your name

On the field on the horizon
On the wings of birds
And on the shadowy mills
I write your name

On each dawn’s breath
On the sea on the boats
On the lunatic mountain
I write your name

On the mousse of clouds
On the sweating of storms
On the thick insipid rain
I write your name

On the sparkling shapes
On the colorful bells
On the physical truth
I write your name

On the awakened trails
On the deployed routes
On the overflowing places
I write your name

On the lamp that lights
On the lamp that extinguishes
On my houses reunited 
I write your name

On the fruit cut in two
Of mirrors and of my room
On my empty shell bed
I write your name

On my gluttonous and tender dog
On its upright ears
On its maladroit paws
I write your name

On the springboard of my door
On the familiar objects
On the flood of blessed fire
I write your name

On every granted flesh
On the face of my friends
On every hand that is extended
I write your name

On the window of surprises
On the attentive tears
Well above silence
I write your name

On my destroyed refuges
On my collapsed lighthouses
On the walls of my ennui
I write your name

On the absence without desire
On the naked solitude
On the death marches
I write your name

On the health returned 
On the risk disappeared 
On the spirit that does not remember
I write your name

And by the power of a word
I restart my life
I was born to know you
To name you 

Liberty.","<p>“Liberté” is a poem that takes on a very rhythmic structure: non-rhyming four-line stanzas that each evoke a certain emotion or message. It was thus very important to me to maintain this structure in the English translation, even when it may have not made sense to do so when writing originally in English. The word “sur” in French translates to “on,” and most lines in the original French begin with that word, so that has been maintained in the translation. French has a different adjective-noun order than English, and almost all the lines refer to a noun having some adjective or quality, so grammatical structure was weighed against the intention of the metronome of the original words to produce a coherent translation.</p>","<p>Paul Éluard (1895 - 1952), born Eugène Émile Paul Grindel, was a French surrealist poet and leftist activist. He was active in the French Resistance movement during World War II and wrote his most famous poem “Liberté,” as a message of motivation for Nazi-occupied France at the time. The poem is included in his clandestine collection of poems, </em>Poésie et Vérité</em>.</p>","<p>Elias Ziyadeh is a candidate for a BA in Chemistry and Mathematical Biology at the University of Pennsylvania, and he serves as a staff editor at <em>DoubleSpeak</em>. Originally from Beirut, Lebanon, he grew up speaking the three languages of Beirut: English, Arabic, and French. He enjoys watching this linguistic intersection and evolution as they shape the new Lebanese generation which, through political, economic, and security crises, is increasingly forced to grow roots outside of its ancestral homeland, in search of a better life.</p>",,French,fr,/assets/images/images_25/IMG_7122.jpeg,,,,2025,submission,,0
signifying-shadows,Significa Sombros,Signifying Shadows,Pablo Neruda,Angela Shen,"Qué esperanza considerar, qué presagio puro,
qué definitive beso enterrar en el corazón,
someter en los orígenes del desamparo y la inteligencia,
suave y seguro sobre las aguas eternamente turbadas?

Qué vitales, rápidas alas de un nuevo ángel de sueños
instalar en mis hombros dormidos para seguridad perpetua,
de tal manera que el camino entre las estrellas de la muerte
sea un violento vuelo comenzado desde hace mucho días y meses
	y siglos? 

Tal vez la debilidad natural de los seres recelosos y ansiosos
busca de súbito permanencia en el tiempo y límites en la tierra,
tal vez las fatigas y las edades acumuladas implacablemente
se extiendan como la ola lunar de un océano recién creado
sobre litorales y tierras angustiosamente desiertas.

Ay, que lo que yo soy existiendo y cesando de existir,
y que mi obediencia se ordene con tales condiciones de hierro
que el temblor de las muertes y de los nacimientos no conmueva
el profundo sitio que quiero reservar para mí eternamente.

Sea, pues, lo que soy, en alguna parte y en todo tiempo,
Establecido y asegurado y ardiente testigo,
Cuidadosamente destruyéndose y preservándose incesantemente,
Evidentemente empeñado en su deber original.","What weighty hope, what pure sign,
what resolute kiss embedded in the heart,
subdues the stirrings of helplessness and intelligence,
soft and safe above eternally turbulent waters?

What lively, quick wings of a new angel of dreams
does settle on my sleeping shoulders for lifelong certainty,
so that my journey between death’s stars
might be the start of a mighty flight lasting days, months,
        And centuries?

Maybe, the natural weakness of anxious and suspicious people
seeks a sudden stay in time and boundaries to the earth.
Maybe, exhaustion and the relentless accumulation of the ages
flood over like the moon’s waves on a freshly aired-out ocean
atop coasts and shores agonizingly deserted.

Oh, that what I am goes on living and ceasing to live,
that I order my obedience by such iron conditions,
such that the trembles of death and birth do not disturb
the profound place I want to keep for myself forevermore. 

So let me be what I am, in some part and in all times,
set and secure and ardent witness
painstakingly destroying and ceaselessly preserving myself,
plainly committed to the original duty.","<p>I referenced EN/ES dictionaries to clarify the meaning and parts of speech of words I didn’t recognize in the poem. The real difficulty came from developing a true understanding of the poem and exploring how to convey that message in English. I worked in a recursive process, first drafting out a more granular translation that I would return to, revise, and refine as I researched and contemplated the substance and structure of different phrasings. I also re-read the entire poem at multiple stages, checking myself to stay true to the poem’s overall flow.</p>

<p>My rule of thumb for choosing English words when grappling with multiple meanings and synonyms was to (1) preserve the poem’s original meaning and (2) preserve an aesthetic and rhythmic form. I decided against certain changes that would have made the poem more concise and straightforward in English — keeping the repetitions of <em>tal vez</em> as “Maybe,” and the compact symmetry of <em>que lo que</em> despite how strange “that what I am” seems in English.</p>

<p>While working on this project, I had access to an English translation of the poem by Nathaniel Tarn recorded in <em>Pablo Neruda: Selected Poems</em>, edited also by Tarn. Tarn does not provide any notes on his translation process–and I ultimately deviated quite a bit from his translation, which at times made larger changes in punctuation and word choice. Comparing my final product to that of Tarn — plus the unshakable feeling that no matter how much I sought to justify my choices, some part of translating was just a leap of faith — helped me grasp how translation is also an act of creation and interpretation. Readers should ultimately choose for themselves how they understand a poem; in the meantime, I feel inspired to teach myself to read more poetry in its original language.</p>","<p>Pablo Neruda was a Chilean poet. A major voice of twentieth-century Latin America, Neruda has written over fifty works of poetry and prose, many of which have been republished and translated worldwide. He was awarded the 1971 Nobel Prize for Literature.</p>

<p>An active politician and diplomat for much of his life, Neruda traveled to many places, including Jakarta, Singapore, Mexico, Argentina, and France. He supported the Republican cause in the Spanish Civil War and would go on to be an active supporter of the communist party. Neruda’s wide range of experiences, revolutionary conviction, and eventful love life influenced his poetry. As a prolific love poet, Neruda is known for  sensual collections such as the famous <em>Veinte poemas de amor y una canción desesperada</em> (<em>Twenty Love Poems and a Song of Despair</em>). In political epics like <em>Canto general</em> (<em>General Song</em>), he investigates Latin American history and takes pride in the struggle for justice against oppression. He also produced poetry of close, precise examination of the natural world in works like <em>Odas elementales</em> (<em>Elemental Odes</em>). The poem translated here is part of his 1935 book <em>Residencia en la tierra I</em> (<em>Residence on Earth</em>), which explores surrealist and existentialist themes.</p>","<p>Angela Shen is a senior in the Huntsman Program in International Studies and Business at the University of Pennsylvania, specializing in Chinese and business analytics. Born and raised in Pennsylvania, she loves to read, cook, and travel. Recognizing the limits of language and translation, she nevertheless holds romantic conviction in the quest for people to truly understand one another. She undertook this project hoping that it would enrich her study of Spanish, deepen her appreciation for Neruda’s poetry, and compel her to grapple with the challenging questions of what it means to translate.</p>",,Spanish,es,/assets/images/images_25/IMG_0702.jpeg,,,,2025,submission,,0
droom,Droom,Dream,Gerrit Komrij,Arno Bohlmeijer,"Ik woonde in een speelgoedstolp van glas.
Zo'n bol waarin het sneeuwen gaat in dikke
En trage vlokken, als een kind hem pas
Heeft omgedraaid. Dat was me even schrikken.

Het gras stak stil en hoog boven mij uit.
De lucht was blauw geverfd. Ik zag het tikken
Van iemands vinger, zonder één geluid. 
Er waren sterretjes als speldenprikken.

Toen werd ik wakker. Languit in het gras
Zag ik de blauwe hemelkoepel trillen.
De sterretjes nog steeds oneindig klein.

Een wind stak op. Het gras begon te rillen.
En ergens klonk, niet ver van waar ik was,
Het huilen van een hogesnelheidstrein.","I was living in a toy glass globe,
One of those where it snows in slow 
And thick flakes, right after a child
Has flicked it. That gave me a fright.

The grass was quiet and high above me.
The sky was painted blue. I saw the tapping
Of someone’s finger without a single sound.
There were little stars, like pinpricks.

Then I woke up. Sprawled in the grass,
I saw the arch of blue sky trembling,
The stars remained infinitely small.

A wind picked up. The grass began to shake.
And somewhere, not far from where I lay,
Sounded the howling of a high-speed train.
","<p>Falling in love with Gerrit Komrij’s poem “Dream,” I began translating before I knew it--despite the rich rhymes, and before finding that Komrij’s curator (Arie Pos, whose permission was required), is a famous, broadly acclaimed and published translator.</p> How did I dare?</p>

<p>Well, the poem itself intrigued me to bits, and while working on the content, meaning, flow, and tone in English, the rhymes arrived in their own right, pleasing Arie Pos, as well. When poems are in motion of their own accord, there’s a rewarding interplay. While the shapes and content blend independently in a dazzling combination of intention and surprise, the author can metaphorically follow or steer.</p>

","<p>Gerrit Komrij was a poet, novelist, anthologist, translator, playwright, critic, and polemic journalist. Komrij’s poetry could be described as a masquerade: a never-ending, deadly-earnest game in which nothing is what it seems to be. As one of Holland's leading writers, he was awarded the highest literary awards, and he was the Dutch Poet Laureate.</p>","<p>Arno Bohlmeijer, winner of a PEN America Grant 2021, is a poet and novelist. Writing in English and Dutch, he is published in six countries, two dozen renowned journals, and in <em>Universal Oneness: an Anthology of Magnum Opus Poems from around the World</em>, 2019.</p>",,Dutch,nl,/assets/images/images_25/IMG_6366.JPG,,,,2025,submission,,first
my-daughter-and-i,Mijn dochter en ik,My Daughter and I,Ed Hoornik,Arno Bohlmeijer,"Terwijl ik lees voel ik mijn dochter kijken;
ik laat niets merken en lees rustig door.
Haar leven doet zich helder aan mij voor:
het zal in alles op het mijne lijken.

Niets kan ik doen, opdat zij zal bereiken
wat ik, amper gevonden, weer verloor;
geen vindt van het geluk méér dan een spoor,
ook zij niet, en ook zij zal het zien wijken.

Ik sluit het boek. Wij zitten naast elkaar;
geen woorden tussen ons; slechts, even maar,
de glimlach van de een tegen de ander.

‘t Is of ik in mijn eigen ogen staar,
en wat daar staat, het is als water klaar,
wanneer ik langzaam in mijzelf verander.","Reading, I can feel my daughter seeing me;
I conceal that and go on reading at ease.
Her life presents itself to me clearly: 
it will resemble mine in all ways.

There’s nothing I can do to help her achieve
what I’ve recently found and lost again;
no one finds more than a trace of joy;
nor will she, and she’ll also see it retreat.

I close the book. We’re side by side;
no words divide us; just for a short while
from one to the other, we smile.

It seems I’m staring into my own eyes,
and what is there, it’s crystal clear,
when I’m slowly growing into me.
","<p>In the middle of wistfulness or profound sadness, Ed Hoornik sees touching tidbits of beauty, warmth, humor, consolation; bridges seem to form between the original and the target language of their own accord, making me a grateful witness, and lifting any linguistic obstacles in a dazzling process of joy and honor.</p>

<p>Hoornik’s poem “My daughter and I” turns a deeply personal moment into universal togetherness. If war-makers read it, they might think twice.</p>","<p>Always in the eye of the literary storm, Ed Hoornik was a poet, journalist, editor, novelist, playwright, and the tireless force behind literary magazines. He survived the Dachau concentration camp, after which his work was often about death and survivor’s guilt. Even before the war, his poetry contained warnings against the Nazi regime, such as the poem, “It’s Only Ten Hours by Train to Berlin.”</p>","<p>Arno Bohlmeijer, winner of a PEN America Grant 2021, is a poet and novelist. Writing in English and Dutch, he is published in six countries, two dozen renowned journals, and in <em>Universal Oneness: an Anthology of Magnum Opus Poems from around the World</em>, 2019.</p>",,Dutch,nl,/assets/images/images_25/ava21.JPG,,,,2025,submission,,last
