pid,name,type
Stella_N_Djoku,Stella N’Djoku,author
Su_Shi,Su Shi,author
Sunthorn_Phu,Sunthorn Phu,author
Tamara_Grosso,Tamara Grosso,author
Theophile_Gautier,Théophile Gautier,author
Thomas_Carlyle,Thomas Carlyle,author
Tim_Lorndale,Tim Lorndale,author
Tomas_Transtromer,Tomas Tranströmer,author
Tuvya_Ruebner,Tuvya Ruebner,author
Valerie_Rezeau,Valérie Rezeau,author
Victor_Hugo,Victor Hugo,author
Vladimir_Mayakovsky,Vladimir Mayakovsky,author
Vladimir_Vysotskii,Vladimir Vysotskii,author
Wislawa_Szymborska,Wislawa Szymborska,author
Wolfgang_von_Goethe,Wolfgang von Goethe,author
Wolfram_von_Eschenbach,Wolfram von Eschenbach,author
Xi_Murong,Xi Murong,author
Yan_An,Yan An,author
Yaroslav_Slava_Mogutin,Yaroslav (Slava) Mogutin,author
Yi_Sang_hwa,Yi Sang-hwa,author
Yosa_Buson,Yosa Buson,author
Yuliya_Drunina,Yuliya Drunina,author
Yun_Dong_ju,Yun Dong-ju,author
Zhang_Ergun,Zhang Ergun,author
Zhang_Zhihao,Zhang Zhihao,author
Zoraida_Armengol,Zoraida Armengol,author
Zusman_Segalovitsh,Zusman Segalovitsh,author
Jiemin_Liu,Jiemin Liu (刘洁岷),author
Manuel_Bandeira,Manuel Bandeira,author
Sapardi_Djoko_Damono,Sapardi Djoko Damono,author
Valeriya_Krutova,Valeriya Krutova,author
Ingeborg_Bachmann,Ingeborg Bachmann,author
Moses_Ibn_Ezra,Moses Ibn Ezra,author
Rosalia_de_Castro,Rosalía de Castro,author
Paulius_Sirvys,Paulius Širvys,author
Johann_Wolfgang_von_Goethe,Johann Wolfgang von Goethe,author
Aiyana_Nosizwe_Mate,Aiyana Nosizwe Mate,author
Wang_Wei,Wang Wei (王維),author
Cha_um_Panchaphan,Cha-um Panchaphan,author
Padma_Sachdev,Padma Sachdev (पद्मा सचदेव),author
Valerio_Grutt,Valerio Grutt,author
Alina_Khaitlina,Alina Khaitlina,author
Mostarli_Hasan_Ziyai,Mostarli Hasan Ziyâî,author
Guillermo_Blest_Gana,Guillermo Blest Gana,author
Kuppali_Venkatappa_Puttappa,Kuppali Venkatappa Puttappa,author
Marie_Krysinska,Marie Krysińska,author
Liu_Guo-Fang,Liu Guo-Fang (刘国芳),author
Jorge_Luis_Borges,Jorge Luis Borges,author
Esther_Jansma,"Esther Jansma",author
Joy_Harjo,Joy Harjo,author
Machi_Tawara,Machi Tawara,author
